Area_Name,Year,Cases_Property_Stolen,Victims_Total,Total_Cases_for_Trial,Unnamed: 3
Karnataka,2001,6394,577,0,
Karnataka,2001,6394,577,0,2067.0
Karnataka,2001,6394,577,0,0.0
Karnataka,2001,6394,577,0,3.0
Karnataka,2001,6394,577,0,0.0
Karnataka,2001,6394,577,16014,
Karnataka,2001,6394,1101,1335,
Karnataka,2001,6394,1101,860,
Karnataka,2001,6394,1101,762,
Karnataka,2001,6394,1101,4390,
Karnataka,2001,6394,1101,193,
Karnataka,2001,6394,1101,4938,
Karnataka,2001,6394,1101,0,
Karnataka,2001,6394,1101,0,2067.0
Karnataka,2001,6394,1101,0,0.0
Karnataka,2001,6394,1101,0,3.0
Karnataka,2001,6394,1101,0,0.0
Karnataka,2001,6394,1101,16014,
Karnataka,2001,6394,1678,1335,
Karnataka,2001,6394,1678,860,
Karnataka,2001,6394,1678,762,
Karnataka,2001,6394,1678,4390,
Karnataka,2001,6394,1678,193,
Karnataka,2001,6394,1678,4938,
Karnataka,2001,6394,1678,0,
Karnataka,2001,6394,1678,0,2067.0
Karnataka,2001,6394,1678,0,0.0
Karnataka,2001,6394,1678,0,3.0
Karnataka,2001,6394,1678,0,0.0
Karnataka,2001,6394,1678,16014,
Kerala,2001,4185,156,2336,
Kerala,2001,4185,156,420,
Kerala,2001,4185,156,133,
Kerala,2001,4185,156,6063,
Kerala,2001,4185,156,236,
Kerala,2001,4185,156,7788,
Kerala,2001,4185,156,0,
Kerala,2001,4185,156,0,361.0
Kerala,2001,4185,156,0,0.0
Kerala,2001,4185,156,0,123.0
Kerala,2001,4185,156,0,0.0
Kerala,2001,4185,156,17475,
Kerala,2001,4185,333,2336,
Kerala,2001,4185,333,420,
Kerala,2001,4185,333,133,
Kerala,2001,4185,333,6063,
Kerala,2001,4185,333,236,
Kerala,2001,4185,333,7788,
Kerala,2001,4185,333,0,
Kerala,2001,4185,333,0,361.0
Kerala,2001,4185,333,0,0.0
Kerala,2001,4185,333,0,123.0
Kerala,2001,4185,333,0,0.0
Kerala,2001,4185,333,17475,
Kerala,2001,4185,489,2336,
Kerala,2001,4185,489,420,
Kerala,2001,4185,489,133,
Kerala,2001,4185,489,6063,
Kerala,2001,4185,489,236,
Kerala,2001,4185,489,7788,
Kerala,2001,4185,489,0,
Kerala,2001,4185,489,0,361.0
Kerala,2001,4185,489,0,0.0
Kerala,2001,4185,489,0,123.0
Kerala,2001,4185,489,0,0.0
Kerala,2001,4185,489,17475,
Lakshadweep,2001,1,2,1,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,0.0
Lakshadweep,2001,1,2,0,0.0
Lakshadweep,2001,1,2,0,0.0
Lakshadweep,2001,1,2,0,0.0
Lakshadweep,2001,1,2,1,
Lakshadweep,2001,1,2,1,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,
Lakshadweep,2001,1,2,0,0.0
Lakshadweep,2001,1,2,0,0.0
Lakshadweep,2001,1,2,0,0.0
Lakshadweep,2001,1,2,0,0.0
Lakshadweep,2001,1,2,1,
Madhya Pradesh,2001,13549,622,9387,
Madhya Pradesh,2001,13549,622,3075,
Madhya Pradesh,2001,13549,622,2257,
Madhya Pradesh,2001,13549,622,27553,
Madhya Pradesh,2001,13549,622,1832,
Madhya Pradesh,2001,13549,622,10595,
Madhya Pradesh,2001,13549,622,0,
Madhya Pradesh,2001,13549,622,0,84.0
Madhya Pradesh,2001,13549,622,0,0.0
Madhya Pradesh,2001,13549,622,0,0.0
Madhya Pradesh,2001,13549,622,0,0.0
Madhya Pradesh,2001,13549,622,54992,
Madhya Pradesh,2001,13549,1803,9387,
Madhya Pradesh,2001,13549,1803,3075,
Madhya Pradesh,2001,13549,1803,2257,
Madhya Pradesh,2001,13549,1803,27553,
Madhya Pradesh,2001,13549,1803,1832,
Madhya Pradesh,2001,13549,1803,10595,
Madhya Pradesh,2001,13549,1803,0,
Madhya Pradesh,2001,13549,1803,0,84.0
Madhya Pradesh,2001,13549,1803,0,0.0
Madhya Pradesh,2001,13549,1803,0,0.0
Madhya Pradesh,2001,13549,1803,0,0.0
Madhya Pradesh,2001,13549,1803,54992,
Madhya Pradesh,2001,13549,2425,9387,
Madhya Pradesh,2001,13549,2425,3075,
Madhya Pradesh,2001,13549,2425,2257,
Madhya Pradesh,2001,13549,2425,27553,
Madhya Pradesh,2001,13549,2425,1832,
Madhya Pradesh,2001,13549,2425,10595,
Madhya Pradesh,2001,13549,2425,0,
Madhya Pradesh,2001,13549,2425,0,84.0
Madhya Pradesh,2001,13549,2425,0,0.0
Madhya Pradesh,2001,13549,2425,0,0.0
Madhya Pradesh,2001,13549,2425,0,0.0
Madhya Pradesh,2001,13549,2425,54992,
Maharashtra,2001,13881,1068,10745,
Maharashtra,2001,13881,1068,5358,
Maharashtra,2001,13881,1068,3433,
Maharashtra,2001,13881,1068,20571,
Maharashtra,2001,13881,1068,6235,
Maharashtra,2001,13881,1068,45917,
Maharashtra,2001,13881,1068,1,
Maharashtra,2001,13881,1068,0,2160.0
Maharashtra,2001,13881,1068,0,1.0
Maharashtra,2001,13881,1068,0,359.0
Maharashtra,2001,13881,1068,0,0.0
Maharashtra,2001,13881,1068,94926,
Maharashtra,2001,13881,1882,10745,
Maharashtra,2001,13881,1882,5358,
Maharashtra,2001,13881,1882,3433,
Maharashtra,2001,13881,1882,20571,
Maharashtra,2001,13881,1882,6235,
Maharashtra,2001,13881,1882,45917,
Maharashtra,2001,13881,1882,1,
Maharashtra,2001,13881,1882,0,2160.0
Maharashtra,2001,13881,1882,0,1.0
